,Dataset,Tool,Location,Accuracy,AP,ROC_AUC,F1_5mC,F1_5C,Precision_5mC,Precision_5C,Recall_5mC,Recall_5C,Corr_Mix,Corr_All,Corr_mixedSupport,Corr_allSupport,mCsites_called,Csites_called,mCsites,Csites,referenceCpGs,prefix,coord
44,K562,DeepMod,Exons,0.6653126132686348,0.24450546463260125,0.4968884913502983,0.19575810362279605,0.7886870952645044,0.23886484623338824,0.7529830445754058,0.16583135028781856,0.8279456324127781,-0.04303453228508144,-0.09956049704465036,1249,2044,52222,254019,49299,149225,198524,K562_WGBS.DeepMod,ONT.hg38.exonFeature.bed
46,K562,DeepMod,Intergenic,0.8660383952022906,0.05837106468033446,0.5350497411408035,0.11471013305123888,0.9275366384015084,0.0878580394841949,0.9513359017336702,0.16520041198180413,0.9048990702998028,0.1245318532209625,0.12345797991972733,4636,5732,87630,799460,30607,525245,555852,K562_WGBS.DeepMod,ONT.hg38.intergenic.bed
47,K562,DeepMod,Introns,0.7173555234348962,0.24174605744740865,0.5182283677617383,0.19274779272136408,0.8286866576028532,0.2896959086696188,0.7737361336176675,0.14441771604168652,0.8920390194817901,0.005845215639207264,0.049246555531993336,4917,6449,135946,1031181,180426,587731,768157,K562_WGBS.DeepMod,ONT.hg38.intronFeature.bed
52,K562,DeepMod,Promoters,0.7355342660373063,0.12209237258207695,0.4926620503731563,0.13712874388137702,0.8438352792178241,0.11488117550041232,0.8744847402553808,0.1700625915567985,0.8152615091895141,-0.03387287163546046,-0.06699945491187095,750,1552,66695,297908,29630,206501,236131,K562_WGBS.DeepMod,ONT.hg38.promoterFeature500.bed
55,K562,DeepMod,Discordant,0.40202702702702703,0.651463963963964,0.5060096153846154,0.2531645569620253,0.5014084507042254,0.6666666666666666,0.3545816733067729,0.15625,0.8557692307692307,0.0,0.0,0,0,45,251,125,68,193,K562_WGBS.DeepMod,K562_WGBS.hg38_nonsingletons.discordant.bed
56,K562,DeepMod,Concordant,0.7603571946094769,0.08611138997276384,0.5063614482081678,0.12448879653771325,0.8611798381190415,0.09030858152351326,0.916160258614146,0.20029812606473596,0.8124247703515997,0.0,0.006434606608070409,0,544,52077,223963,15810,166083,181893,K562_WGBS.DeepMod,K562_WGBS.hg38_nonsingletons.concordant.bed
57,K562,Tombo,Genome-wide,0.8727782164160508,0.5402164680176816,0.8838326615366225,0.7063921966585145,0.9187960652088404,0.5810942813235679,0.9770640157407252,0.9005786278254425,0.8670866952478026,0.7639670502975494,0.7816487465496662,6005,7577,489344,1368679,268441,1324977,1593418,K562_WGBS.Tombo,x.x.Genome-wide
58,K562,Tombo,Singletons,0.8684930839089356,0.4905493607040678,0.8841419759621886,0.6659211545930611,0.9181335781851389,0.5263708981321912,0.9819268280929296,0.9061603194542316,0.8621236324701453,0.7909391104816034,0.7998190443533245,4276,5193,337133,1016811,166353,999179,1165532,K562_WGBS.Tombo,x.x.Singletons
59,K562,Tombo,Non-singletons,0.8842879786700101,0.6518950720367396,0.8867556813293256,0.7856565389307816,0.9207536608363199,0.7023014105419451,0.9630116975684064,0.8914629773252275,0.8820483853334236,0.6924830521110317,0.7483752865033206,1729,2384,152211,351868,102088,325798,427886,K562_WGBS.Tombo,x.x.Non-singletons
60,K562,Tombo,CpG Island,0.8853818222268129,0.4541840845392582,0.8768131920627289,0.6390602129283275,0.9318740480997414,0.5064945366569497,0.9803017581860726,0.865620551752186,0.8880058323732719,0.5553831588992793,0.6858531128969096,688,1103,50427,201287,25665,185801,211466,K562_WGBS.Tombo,ONT.hg38.cpgIslandExt.bed
63,K562,Tombo,Exons,0.8832089155447798,0.658482344588849,0.8869160579629835,0.7898736502154299,0.9191301863507708,0.7073481639870061,0.9623407221009264,0.8941987801497089,0.8796333357762581,0.839648834049458,0.8875046240660904,523,911,72957,162138,49299,149225,198524,K562_WGBS.Tombo,ONT.hg38.exonFeature.bed
65,K562,Tombo,Intergenic,0.8654065030537484,0.2530239098326502,0.8735631642267034,0.4241916279193524,0.9237971574578218,0.2791713727859351,0.9919932845683084,0.8827519379844961,0.8643743904689106,0.5347950734585117,0.5351083972786717,3259,3784,114213,528931,30607,525245,555852,K562_WGBS.Tombo,ONT.hg38.intergenic.bed
66,K562,Tombo,Introns,0.8748861830711825,0.6348857171607636,0.8856201635262567,0.7743920351881141,0.9134422240509632,0.6761549705547513,0.9673648582360443,0.9060266490889402,0.8652136779635734,0.8148955796388218,0.8412159277202237,1991,2565,284596,611580,180426,587731,768157,K562_WGBS.Tombo,ONT.hg38.intronFeature.bed
71,K562,Tombo,Promoters,0.8852791552438977,0.4758445508080629,0.8868749241998855,0.6560937032445604,0.9311572344804274,0.5198922818962451,0.9826924466278943,0.8889918619131745,0.8847579864865963,0.8632023892045044,0.8731792455399501,268,628,59043,221464,29630,206501,236131,K562_WGBS.Tombo,ONT.hg38.promoterFeature500.bed
74,K562,Tombo,Discordant,0.759656652360515,0.7910479759817848,0.7487550200803212,0.8082191780821917,0.6781609195402301,0.8309859154929577,0.6483516483516484,0.7866666666666666,0.7108433734939759,0.0,0.0,0,0,142,91,125,68,193,K562_WGBS.Tombo,K562_WGBS.hg38_nonsingletons.discordant.bed
75,K562,Tombo,Concordant,0.8912658056126005,0.4007877310684964,0.8956057521967986,0.5871109847946568,0.9373885497869314,0.435456246212221,0.9896540740993528,0.900844916871082,0.8903665875225152,0.0,0.6579194694057888,0,265,37951,175818,15810,166083,181893,K562_WGBS.Tombo,K562_WGBS.hg38_nonsingletons.concordant.bed
76,K562,DeepSignal,Genome-wide,0.9492105701224588,0.7557303197946583,0.9433321162357386,0.8602747511469493,0.9689646961061832,0.7969749120474824,0.9863658110871508,0.9344973264214866,0.9521669060499908,0.893638262291798,0.9082287303885922,10807,14230,459623,1883207,268441,1324977,1593418,K562_WGBS.DeepSignal,x.x.Genome-wide
77,K562,DeepSignal,Singletons,0.9446031158890535,0.702323298450807,0.9397827352650218,0.8269634217569857,0.9670228079039288,0.7425360820026206,0.9884414658248774,0.9330527612399918,0.9465127092900516,0.9037895553909818,0.9139866122557536,7775,9881,306039,1410646,166353,999179,1165532,K562_WGBS.DeepSignal,x.x.Singletons
78,K562,DeepSignal,Non-singletons,0.961842704165968,0.8632551577426721,0.9532352624105542,0.9208921322570178,0.9748577249461206,0.9054523908740494,0.980169755862206,0.936867564035194,0.9696029607859143,0.8691670677695662,0.8973545904130846,3032,4349,153584,472561,102088,325798,427886,K562_WGBS.DeepSignal,x.x.Non-singletons
79,K562,DeepSignal,CpG Island,0.9653621891529548,0.7545276017484773,0.9354218417530841,0.8607886552417032,0.9802203637329086,0.8281738702130279,0.9857360213008748,0.8960775953954381,0.9747660881107296,0.7565807326315084,0.8421895012605334,971,1786,40605,273416,25665,185801,211466,K562_WGBS.DeepSignal,ONT.hg38.cpgIslandExt.bed
82,K562,DeepSignal,Exons,0.9560936162115878,0.8502901146046578,0.944805451656192,0.9116830925270308,0.970784667489634,0.9010050794336972,0.9746055092516932,0.9226172361322452,0.9669936671801386,0.905174019170623,0.9365791332789082,1200,1966,74024,220284,49299,149225,198524,K562_WGBS.DeepSignal,ONT.hg38.exonFeature.bed
84,K562,DeepSignal,Intergenic,0.94610359052712,0.4692356045429111,0.9333935982187276,0.6524199905407535,0.97078687416771,0.5056882751878781,0.9950535794320172,0.9191116046640756,0.94767559177338,0.8170650083883335,0.818727452053674,4484,5482,81835,736290,30607,525245,555852,K562_WGBS.DeepSignal,ONT.hg38.intergenic.bed
85,K562,DeepSignal,Introns,0.9491286942554212,0.8191250839340251,0.946346279057284,0.8964023278096456,0.9662870221214708,0.8557422969187675,0.9814626121169524,0.9411189752678398,0.951573582846728,0.8996823216863928,0.9204787075472212,4627,6075,289170,835177,180426,587731,768157,K562_WGBS.DeepSignal,ONT.hg38.intronFeature.bed
90,K562,DeepSignal,Promoters,0.9645327882387104,0.7595827727038077,0.9447350309159236,0.8642623665286554,0.9796013937464796,0.8160867507561884,0.9883695957443294,0.9184826659873556,0.9709873958444916,0.8773912938900372,0.9149845757186555,735,1520,48599,302655,29630,206501,236131,K562_WGBS.DeepSignal,ONT.hg38.promoterFeature500.bed
93,K562,DeepSignal,Discordant,0.8156028368794326,0.8713880338411002,0.8349400947339092,0.8461538461538463,0.7699115044247787,0.934640522875817,0.6744186046511628,0.772972972972973,0.8969072164948454,0.0,0.0,0,0,153,129,125,68,193,K562_WGBS.DeepSignal,K562_WGBS.hg38_nonsingletons.discordant.bed
94,K562,DeepSignal,Concordant,0.974656939180448,0.7572115678678261,0.9605422546919468,0.8643379366368805,0.9860229407899967,0.79742186914487,0.9946221353584048,0.9435133457479826,0.9775711636359109,0.0,0.8897538742124951,0,507,26686,236897,15810,166083,181893,K562_WGBS.DeepSignal,K562_WGBS.hg38_nonsingletons.concordant.bed
95,HL60,Megalodon,Genome-wide,0.8296130346232179,0.456197283132752,0.873096852314854,0.6316809016465615,0.8891715020003709,0.4766144034015413,0.9856672932330828,0.936309057687288,0.80988464694242,0.6295207674998615,0.6768880163585259,36,113,7526,17024,2624,15177,17801,HL60_RRBS.Megalodon,x.x.Genome-wide
96,HL60,Megalodon,Singletons,0.8255759285378468,0.6246418358073154,0.8527333048698491,0.7636440857931621,0.8617906370296784,0.6514492753623189,0.9582988124827396,0.92252437147255,0.782942238267148,0.7089090337069497,0.6238283593234528,10,21,2760,3621,1379,3198,4577,HL60_RRBS.Megalodon,x.x.Singletons
97,HL60,Megalodon,Non-singletons,0.8310308767681215,0.3619368299646597,0.8839003346390173,0.5382069795427196,0.8965981812057933,0.3753671842215695,0.9930612549429232,0.9505844845908608,0.8172161846871738,0.5780149394038461,0.6877864158289763,26,92,4766,13403,1245,11979,13224,HL60_RRBS.Megalodon,x.x.Non-singletons
98,HL60,Megalodon,CpG Island,0.8258888778845201,0.22338573944153248,0.8844053133875023,0.3732620320855615,0.8989016044625913,0.23225377107364684,0.9964936886395512,0.9500907441016334,0.818719882673371,0.4649139677631022,0.4774318758629742,27,97,4508,15686,767,14033,14800,HL60_RRBS.Megalodon,ONT.hg38.cpgIslandExt.bed
101,HL60,Megalodon,Exons,0.8488436123348018,0.4223412259355984,0.8912985953066631,0.6001456664238893,0.9068069937192328,0.4392324093816632,0.9914625092798812,0.9471264367816092,0.8354707538317172,0.9142171709916777,0.6990125829825584,10,50,2814,8082,922,7008,7930,HL60_RRBS.Megalodon,ONT.hg38.exonFeature.bed
103,HL60,Megalodon,Intergenic,0.7534102833158447,0.6663900346990801,0.7583194203377689,0.7846012832263978,0.7116564417177915,0.6809864757358791,0.8936825885978429,0.9254054054054054,0.5912334352701325,-0.33407052721061004,0.6242185513954179,6,9,1257,649,554,735,1289,HL60_RRBS.Megalodon,ONT.hg38.intergenic.bed
104,HL60,Megalodon,Introns,0.817995663695495,0.4640297195007435,0.8664424542714195,0.6379103762281333,0.8784490386935886,0.4827711280377222,0.9846708746618577,0.9399717514124294,0.7929131571304096,0.9453176429121021,0.9136432099652928,10,30,2757,5545,1016,5074,6090,HL60_RRBS.Megalodon,ONT.hg38.intronFeature.bed
109,HL60,Megalodon,Promoters,0.85649005090236,0.19871955754080525,0.8947034826965359,0.34243307712695464,0.9194558971528748,0.20953616607200776,0.9969024991200282,0.936231884057971,0.8531750813351006,0.9580884776596356,0.504658034935422,13,80,3083,14205,484,12136,12620,HL60_RRBS.Megalodon,ONT.hg38.promoterFeature500.bed
112,HL60,Megalodon,Discordant,0.52,0.5,0.5384615384615384,0.6666666666666666,0.14285714285714288,0.5,1.0,1.0,0.07692307692307693,0.0,0.0,0,0,24,1,9,8,17,HL60_RRBS.Megalodon,HL60_RRBS.hg38_nonsingletons.discordant.bed
113,HL60,Megalodon,Concordant,0.8598210481465701,0.3774114970251559,0.8999736999870667,0.5555255336395568,0.916788911932824,0.39266615737203975,0.9939673138093672,0.9492151431209604,0.8507322568531731,0.0,0.6045080630826026,0,46,2618,9117,768,7836,8604,HL60_RRBS.Megalodon,HL60_RRBS.hg38_nonsingletons.concordant.bed
114,HL60,Nanopolish,Genome-wide,0.8474036317298502,0.47042415714591995,0.8803858989522527,0.645897138029359,0.9027467587087044,0.4954633830200907,0.9848743750395544,0.9275098574461632,0.8332619404583422,0.6687151659150451,0.7338259881212011,36,113,6172,15801,2624,15177,17801,HL60_RRBS.Nanopolish,x.x.Genome-wide
115,HL60,Nanopolish,Singletons,0.8355716878402903,0.6344668014650887,0.8604213933330983,0.7712121212121212,0.871671388101983,0.662472885032538,0.9600624024961,0.9226586102719032,0.7981841763942932,0.7502845173161121,0.7188008235341093,10,21,2305,3205,1379,3198,4577,HL60_RRBS.Nanopolish,x.x.Singletons
116,HL60,Nanopolish,Non-singletons,0.8513636639737593,0.3758925482448344,0.8873926583580708,0.5558177527681974,0.9107488054856476,0.39591414533229896,0.991187678628136,0.9323995127892812,0.8423858039268606,0.6124028121924047,0.7372026080583257,26,92,3867,12596,1245,11979,13224,HL60_RRBS.Nanopolish,x.x.Non-singletons
117,HL60,Nanopolish,CpG Island,0.8454669953437415,0.23796997929174846,0.8881708546553838,0.39528403001071816,0.9114146647825404,0.2505434782608696,0.9956775300171526,0.936040609137056,0.8403011001737116,0.5044074478725746,0.5595829991109372,27,97,3680,14575,767,14033,14800,HL60_RRBS.Nanopolish,ONT.hg38.cpgIslandExt.bed
120,HL60,Nanopolish,Exons,0.8691872219975738,0.4511932537287562,0.9019516763542552,0.6283744974152786,0.9206232364127099,0.4707401032702238,0.9915433403805496,0.9447322970639032,0.8591710556446073,0.9716027991293076,0.7921158329740091,10,50,2324,7568,922,7008,7930,HL60_RRBS.Nanopolish,ONT.hg38.exonFeature.bed
122,HL60,Nanopolish,Intergenic,0.7513227513227513,0.6524996934010704,0.7616820092055233,0.7714748784440841,0.7272727272727272,0.6723163841807911,0.8826291079812206,0.9049429657794676,0.618421052631579,-0.34412029816978096,0.6640165077041252,6,9,1062,639,554,735,1289,HL60_RRBS.Nanopolish,ONT.hg38.intergenic.bed
123,HL60,Nanopolish,Introns,0.8368852459016394,0.4750411502643765,0.8770722775468414,0.6488235294117648,0.8937722419928826,0.4963996399639964,0.9852883483719106,0.9363327674023768,0.8178117876913058,0.9330655093766724,0.8858906571503633,10,30,2222,5098,1016,5074,6090,HL60_RRBS.Nanopolish,ONT.hg38.intronFeature.bed
128,HL60,Nanopolish,Promoters,0.8774164639610805,0.2174402738137232,0.9028732849498924,0.3698585060875288,0.93210423683744,0.2308008213552361,0.996815045120194,0.9304635761589404,0.8752829937408443,0.9580884776596356,0.5995124497270358,13,80,2435,13187,484,12136,12620,HL60_RRBS.Nanopolish,ONT.hg38.promoterFeature500.bed
131,HL60,Nanopolish,Discordant,0.5263157894736842,0.5263157894736842,0.5,0.6896551724137931,0.0,0.5263157894736842,0.0,1.0,0.0,0.0,0.0,0,0,19,0,9,8,17,HL60_RRBS.Nanopolish,HL60_RRBS.hg38_nonsingletons.discordant.bed
132,HL60,Nanopolish,Concordant,0.883245382585752,0.4116065327461036,0.9098537679465796,0.5917627677100494,0.9318819066468744,0.4313160422670509,0.9935521688159438,0.9422875131164744,0.8774200227766851,0.0,0.6657363630334344,0,46,2082,8530,768,7836,8604,HL60_RRBS.Nanopolish,HL60_RRBS.hg38_nonsingletons.concordant.bed
133,HL60,DeepSignal,Genome-wide,0.8417848273652166,0.4542069582152278,0.8676745712371217,0.6324897655377745,0.8991935483870966,0.4861965384065226,0.9800834492350486,0.9047112057492679,0.8306379367249752,0.5801379962896255,0.6776543345920965,36,113,6991,17975,2624,15177,17801,HL60_RRBS.DeepSignal,x.x.Genome-wide
134,HL60,DeepSignal,Singletons,0.821196157421754,0.6101929713528086,0.842345080609192,0.750755939524838,0.8605943464604977,0.6463369282261063,0.9460823373173972,0.8954147346728492,0.7892754265455352,0.6667544830718835,0.6456865127633429,10,21,2689,3765,1379,3198,4577,HL60_RRBS.DeepSignal,x.x.Singletons
135,HL60,DeepSignal,Non-singletons,0.8489628349178912,0.3615179090511889,0.8782329883545928,0.5429879045439686,0.9095321296835568,0.3860994886099489,0.9890921885995778,0.9146475770925111,0.8418183996166747,0.5202724775031125,0.6848200517813707,26,92,4302,14210,1245,11979,13224,HL60_RRBS.DeepSignal,x.x.Non-singletons
136,HL60,DeepSignal,CpG Island,0.8427374436964208,0.22317638566219647,0.8768925974989772,0.3790399694014152,0.9099681131290726,0.23902556681138445,0.9944245803284648,0.9150507848568792,0.8387344101410754,0.3961079839028843,0.4818191700406546,27,97,4146,16501,767,14033,14800,HL60_RRBS.DeepSignal,ONT.hg38.cpgIslandExt.bed
139,HL60,DeepSignal,Exons,0.8619540747411076,0.4253280647924431,0.8834591848742792,0.6072252113758647,0.9162615393019063,0.4552439492892816,0.9864737708774406,0.9115384615384616,0.8553799082100969,0.9486635644322444,0.7348547982434999,10,50,2603,8502,922,7008,7930,HL60_RRBS.DeepSignal,ONT.hg38.exonFeature.bed
141,HL60,DeepSignal,Intergenic,0.7302350427350427,0.6292589228294189,0.7413932221624528,0.7483806676631788,0.7092688543465745,0.6536118363794604,0.8520055325034578,0.8752913752913752,0.6074950690335306,-0.1057451542791776,0.5810935977053068,6,9,1149,723,554,735,1289,HL60_RRBS.DeepSignal,ONT.hg38.intergenic.bed
142,HL60,DeepSignal,Introns,0.8331164991129509,0.4747388622217678,0.8695225837713012,0.6489176412042796,0.8905437902412535,0.5,0.9817000171027878,0.9241672572643516,0.8148779102782511,0.811923882387666,0.8708003691534034,10,30,2608,5847,1016,5074,6090,HL60_RRBS.DeepSignal,ONT.hg38.intronFeature.bed
147,HL60,DeepSignal,Promoters,0.8722935157442478,0.20176099359798616,0.8859389460959808,0.3532779845405096,0.929151638701584,0.21972934472934472,0.9954304146226732,0.9007299270072991,0.8711479651846624,0.9580884776596356,0.5582042482317252,13,80,2808,14881,484,12136,12620,HL60_RRBS.DeepSignal,ONT.hg38.promoterFeature500.bed
150,HL60,DeepSignal,Discordant,0.48,0.48,0.5,0.6486486486486487,0.0,0.48,0.0,1.0,0.0,0.0,0.0,0,0,25,0,9,8,17,HL60_RRBS.DeepSignal,HL60_RRBS.hg38_nonsingletons.discordant.bed
151,HL60,DeepSignal,Concordant,0.8789931426659977,0.3963986145943471,0.8984617270331556,0.5792381506251817,0.9293353518581824,0.4222128020347605,0.9912490884467132,0.9222222222222224,0.8747012318440892,0.0,0.6295345969385973,0,46,2359,9599,768,7836,8604,HL60_RRBS.DeepSignal,HL60_RRBS.hg38_nonsingletons.concordant.bed
152,HL60,DeepMod,Genome-wide,0.6646360153256705,0.14681342757594718,0.4609755615786334,0.13276528286931535,0.7921248248509748,0.11036073134574204,0.8326426681312098,0.16658378915962208,0.7553673339976447,-0.02311519475315696,-0.12681186825440371,36,113,6071,20029,2624,15177,17801,HL60_RRBS.DeepMod,x.x.Genome-wide
153,HL60,DeepMod,Singletons,0.6174366616989568,0.2981049978983296,0.4822523690095138,0.17856,0.7506556580864496,0.2578558225508318,0.6865671641791045,0.1365638766519824,0.8279408613670453,-0.0005240577612602436,-0.047982766081650204,10,21,1082,5628,1379,3198,4577,HL60_RRBS.DeepMod,x.x.Singletons
154,HL60,DeepMod,Non-singletons,0.6809695719443012,0.09738227962375998,0.4667443049498338,0.11222732491389206,0.8055450773293097,0.07837241932250953,0.8897298798694535,0.1975745325922183,0.7359140773074493,-0.07843669686220704,-0.14714942372672418,26,92,4989,14401,1245,11979,13224,HL60_RRBS.DeepMod,x.x.Non-singletons
